id,ra_deg,dec,mag,ci,spect,lum,proper,dist,x,y,z
112670,343.3696,-11.6165,5.8,-0.082,B8IV/V,267.1776,,253.1646,237.6063,-70.9708,-50.9773
112684,343.4078,-48.5983,6.03,0.621,G3IV,3.5876,,32.6158,20.6718,-6.1595,-24.4648
112688,343.4173,44.7492,5.79,0.282,A3m,13.627,,56.9152,38.7398,-11.5361,40.0685
112720,343.5235,-19.1751,6.37,1.515,K5III,42.2669,,130.8901,118.5515,-35.0636,-42.9918
112724,343.529,40.3769,5.82,1.136,K0III,35.5468,,93.1966,68.0836,-20.1298,60.374
112756,343.6018,84.3462,4.7,1.418,K4III,136.5212,,109.0513,10.3065,-3.033,108.5208
112767,343.6422,-7.2046,6.2,1.284,K3III,122.5745,,206.1856,196.2775,-57.6107,-25.8584
112771,343.6484,16.9418,6.39,1.729,S51,423.8381,,418.41,384.0622,-112.6829,121.925
112776,343.6626,-15.8208,3.27,0.066,A3V,103.8484,Skat,49.2368,45.4589,-13.3254,-13.4234
112777,343.6647,-70.0737,6.04,0.66,G4IV-V,2.39,,26.7451,8.7471,-2.5637,-25.1439
112788,343.6895,-16.272,5.53,1.111,K1III,9.0698,,41.1862,37.9452,-11.1035,-11.5402
112805,343.7479,1.0649,6.11,0.192,A7III,36.7113,,108.2251,103.8824,-30.2832,2.0114
112814,343.761,37.0768,5.91,0.397,F5II,5.7332,,39.0168,29.8868,-8.705,23.5227
112824,343.7957,-4.9879,5.72,0.881,K0III-IV,31.2176,,83.4028,79.7861,-23.1866,-7.2515
112826,343.807,8.8162,4.91,-0.003,A1V,86.6164,,95.6938,90.8116,-26.3713,14.6665
112829,343.8121,-36.3886,6.4,1.313,K2III,77.6247,,179.8561,139.0459,-40.3648,-106.7011
112844,343.8775,-20.1394,6.36,1.429,K4/K5III,112.7197,,212.766,191.9006,-55.471,-73.2565
112862,343.9354,36.3514,5.73,-0.051,B7III,162.48,,191.2046,147.9822,-42.6137,113.3338
112874,343.9647,-31.6332,6.09,1.358,K3III,523.3594,,404.8583,331.2938,-95.2177,-212.34
112886,343.9871,-32.5396,4.2,0.952,G8III,40.6256,,47.259,38.2944,-10.9901,-25.4198
112921,344.0985,41.6039,5.6,-0.149,B2IV,764.8918,,390.625,280.9139,-80.0286,259.3659
112923,344.1001,-31.5656,6.48,1.094,K4Vp,0.1291,,7.6092,6.2353,-1.7762,-3.9832
112928,344.1083,49.7335,4.99,1.778,K5Ibvar,2112.516,Tengshe,490.1961,304.7258,-86.7556,374.0426
112947,344.1992,-47.9692,5.72,0.226,Am...,24.9804,,74.6269,48.077,-13.6051,-55.4318
112967,344.2688,48.6841,5.34,-0.102,B4IIIpe,404.0173,,251.8892,160.071,-45.0881,189.1891
112985,344.3217,-4.8101,6.31,0.948,G9III,36.9488,,119.0476,114.2146,-32.0577,-9.9825
112997,344.3666,20.7688,5.45,0.666,G5V,1.4022,Helvetios,15.6079,14.0538,-3.9327,5.5345
113000,344.3867,3.8102,6.28,1.122,K1III,34.9945,,114.2857,109.8253,-30.6913,7.5945
113008,344.4126,-29.6222,1.17,0.145,A3V,17.5873,Fomalhaut,7.7036,6.4505,-1.7995,-3.8077
113011,344.4197,39.3088,6.17,-0.148,B2IV-V,659.4775,,471.6981,351.5623,-98.0274,298.8205
113061,344.5648,-2.3954,6.17,0.744,G8IV,1.1695,,19.857,19.1241,-5.2803,-0.8299
113073,344.5986,-1.4102,6.38,0.366,F0V,26.5216,,104.1667,100.3955,-27.6562,-2.5636
113085,344.6462,9.3569,6.43,0.64,G2V+...,2.4751,,32.5627,30.9827,-8.5072,5.2941
113086,344.6459,-35.5232,6.15,0.582,F7V,16.6878,,74.3494,58.3517,-16.0225,-43.1995
113105,344.6776,7.3401,6.35,0.052,A1V,20.3798,,90.0901,86.1758,-23.6112,11.5098
113138,344.7875,59.8147,6.46,0.012,B9III,247.2863,,330.033,160.1256,-43.5426,285.2817
113141,344.7931,52.6545,6.31,1.414,K2,127.0574,,220.7506,129.2227,-35.1257,175.495
113143,344.7992,11.7288,5.76,0.293,A7V,38.4769,,94.3396,89.1381,-24.2196,19.1774
113161,344.8644,0.9629,5.43,0.982,K1III:,49.2493,,91.659,88.4669,-23.9292,1.5404
113171,344.8986,-13.0709,6.12,1.459,K3/K4III,230.5685,,272.4796,256.254,-69.1491,-61.623
113172,344.899,-29.4623,5.51,0.271,F0V,49.9344,,95.7854,80.5185,-21.7271,-47.1121
113201,345.0213,56.9454,5.1,1.011,G0Ia,79432823.4724,,100000.0,52690.535,-14097.4384,83815.0926
113202,345.0241,-25.1642,5.66,1.253,K0IICNIII,210.281,,210.5263,184.0739,-49.2395,-89.5186
113233,345.1026,-25.6268,6.3,1.124,K1III,38.089,,120.3369,104.8525,-27.8939,-52.0467
113250,345.1579,0.1859,6.22,0.892,G4III,91.2851,,179.5332,173.5423,-45.9881,0.5824
113262,345.1788,3.0118,5.85,1.343,K4III,74.2677,,136.612,131.8843,-34.8977,7.1778
113278,345.2202,-52.7541,4.11,0.96,G8III,22.0191,,33.3778,19.5331,-5.1535,-26.5703
113297,345.2814,-50.95,5.68,1.411,K3III,104.3278,,149.7006,91.2163,-23.9617,-116.257
113309,345.3308,-28.854,5.55,1.349,K3III,140.9938,,163.9344,138.9021,-36.3606,-79.1113
113312,345.346,-22.7909,6.27,0.126,A2V,39.4457,,120.7729,107.7217,-28.1678,-46.7837
113314,345.3485,-7.0612,6.23,1.418,K5III,64.6249,,151.7451,145.6972,-38.0911,-18.6538
113324,345.378,57.1055,6.24,1.499,K2II,256.8029,,303.9514,159.7279,-41.6716,255.2194
113326,345.3821,-4.7115,5.94,0.992,K0,750.2396,,452.4887,436.3624,-113.8093,-37.1665
113345,345.4316,3.5309,6.44,0.97,G5,36.8468,,126.2626,121.971,-31.6993,7.7761
113366,345.4803,42.326,3.62,-0.099,B6pv SB,1376.5754,Alfarasalkamil,210.5263,150.6764,-39.023,141.7574
